"","No","IDStockSummary","Date","StockCode","StockName","Remarks","Previous","OpenPrice","FirstTrade","High","Low","Close","Change","Volume","Value","Frequency","IndexIndividual","Offer","OfferVolume","Bid","BidVolume","ListedShares","TradebleShares","WeightForIndex","ForeignSell","ForeignBuy","DelistingDate","NonRegularVolume","NonRegularValue","NonRegularFrequency","persen","percentage"
"1",1,3018684,"2021-11-10T00:00:00","AALI","Astra Agro Lestari Tbk.","--M-1M3PM00000D232------------",10900,0,0,10925,10750,10875,-25,1694400,18313872500,1692,883.5,10875,31100,10825,6200,1924688333,1924688333,1464495353,267500,651400,"",0,0,0,NA,NA
"2",2,3018685,"2021-11-10T00:00:00","ABBA","Mahaka Media Tbk.","--U-2105000000E614-E-L--------",462,0,0,492,462,468,6,24358200,11626110800,4731,821.1,468,14900,466,53000,2755125000,2755125000,2139630075,3811200,989200,"",0,0,0,NA,NA
"3",3,3018686,"2021-11-10T00:00:00","ABDA","Asuransi Bina Dana Arta Tbk.","--U-2105000000G412------------",6800,0,0,6700,6700,6700,-100,100,670000,1,1529.6,6650,200,0,0,620806680,620806680,504405428,0,0,"",0,0,0,NA,NA
"4",4,3018687,"2021-11-10T00:00:00","ABMM","ABM Investama Tbk.","--U-1105000000C311------------",1510,0,0,1520,1460,1470,-40,6786200,10054427000,972,39.2,1470,165000,1465,188600,2753165000,2753165000,2013114248,1482600,284100,"",0,0,0,NA,NA
"5",5,3018688,"2021-11-10T00:00:00","ACES","Ace Hardware Indonesia Tbk.","--MO1S3EMN0000E743------------",1475,1480,1475,1480,1430,1445,-30,8230000,11979916500,2591,1762.2,1445,559500,1440,45300,1.715e+10,1.715e+10,14056140000,3557200,2689600,"",758330,1120053350,2,NA,NA
"6",6,3018689,"2021-11-10T00:00:00","ACST","Acset Indonusa Tbk.","--U-1135000000J211------------",270,0,0,274,266,270,0,11692200,3169113600,949,19.9,270,656800,268,4508000,12675160000,12675160000,9550733060,69300,2010800,"",0,0,0,NA,NA
"7",7,3018690,"2021-11-10T00:00:00","ADES","Akasha Wira International Tbk.","--U-2135000000D212------------",2700,0,0,2720,2680,2700,0,67200,181425000,104,140.3,2700,1000,2690,12000,589896800,589896800,427616190,5000,0,"",0,0,0,NA,NA
"8",8,3018691,"2021-11-10T00:00:00","ADHI","Adhi Karya (Persero) Tbk.","--M-1835V50000J211------------",1120,0,0,1160,1110,1140,20,42404700,48351843000,6667,895.3,1145,1050900,1140,107000,3560849376,3560849376,3016039421,3535500,5258400,"",47500,53200000,1,NA,NA
"9",9,3018692,"2021-11-10T00:00:00","ADMF","Adira Dinamika Multi Finance Tbk.","--U-110F000000G211------------",7900,0,0,7950,7825,7850,-50,62800,495130000,112,337.6,7875,3400,7850,800,1e+09,1e+09,723800000,0,0,"",0,0,0,NA,NA
"10",10,3018693,"2021-11-10T00:00:00","ADMG","Polychem Indonesia Tbk","--U-1130000000B111------------",230,0,0,234,228,230,0,1155300,265784000,241,20.5,230,141500,228,398100,3889179559,3889179559,2878381792,92500,0,"",0,0,0,NA,NA
"11",11,3018694,"2021-11-10T00:00:00","ADRO","Adaro Energy Tbk.","--MO1XD5U60000A121------------",1705,1680,1680,1710,1670,1690,-15,36025600,60863023500,6697,153.6,1690,112800,1685,48500,31985962000,31985962000,26583533018,18030200,6672900,"",317100,538435800,1,NA,NA
"12",12,3018695,"2021-11-10T00:00:00","AGAR","Asia Sejahtera Mina Tbk.","--U-2130000000D231------------",346,0,0,368,346,346,0,14900,5206400,35,314.5,358,100,346,1500,1e+09,1e+09,775100000,0,0,"",0,0,0,NA,NA
"13",13,3018696,"2021-11-10T00:00:00","AGII","Aneka Gas Industri Tbk.","--M-1835400000B111------------",1445,0,0,1460,1430,1430,-15,1550100,2229839500,885,130,1435,6100,1430,387200,3066660000,3066660000,2324834946,79800,14000,"",0,0,0,NA,NA
"14",14,3018697,"2021-11-10T00:00:00","AGRO","Bank Rakyat Indonesia Agroniaga Tbk.","--U-1100000000G111------------",2080,0,0,2120,2060,2080,0,17930100,37324255000,4129,3398.2,2090,553900,2080,82100,21476054860,21476054860,15945970734,4073800,188200,"",15000,31800000,1,NA,NA
"15",15,3018698,"2021-11-10T00:00:00","AGRS","Bank IBK Indonesia Tbk.","--U-2105000000G111------------",198,0,0,199,195,196,-2,21405700,4204246100,1690,243.4,197,106900,196,59400,17481603282,17481603282,12441657056,0,50000,"",0,0,0,NA,NA
"16",16,3018699,"2021-11-10T00:00:00","AHAP","Asuransi Harta Aman Pratama Tbk.","--U-2100000000G412------------",68,0,0,73,68,70,2,19914300,1400531900,1667,263.9,71,1488600,70,328000,2.94e+09,2.94e+09,2216466000,0,0,"",0,0,0,NA,NA
"17",17,3018700,"2021-11-10T00:00:00","AIMS","Akbar Indo Makmur Stimec Tbk","--U-2130000000A121------------",462,0,0,462,450,454,-8,37400,17000600,30,363.2,456,100,454,1500,2.2e+08,2.2e+08,165616000,0,0,"",0,0,0,NA,NA
"18",18,3018701,"2021-11-10T00:00:00","AISA","FKS Food Sejahtera Tbk.","--U-1105000000D222------------",224,0,0,226,220,222,-2,4050300,898764400,437,27,222,763000,220,1357300,9311800000,9311800000,7534177380,274200,407900,"",0,0,0,NA,NA
"19",19,3018702,"2021-11-10T00:00:00","AKKU","Anugerah Kagum Karya Utama Tbk.","--U-2130000000E512------------",50,0,0,50,50,50,0,5200,260000,15,75.9,50,7343300,0,0,6449463636,6449463636,5013813031,0,0,"",0,0,0,NA,NA
"20",20,3018703,"2021-11-10T00:00:00","AKPI","Argha Karya Prima Industry Tbk.","--U-2130000000B113------------",705,0,0,715,680,710,5,11900,8230500,25,93.7,715,7000,710,600,612248000,612248000,436655274,0,0,"",0,0,0,NA,NA
"21",21,3018704,"2021-11-10T00:00:00","AKRA","AKR Corporindo Tbk.","--MO1H7XM80000A112------------",4340,4350,4360,4440,4350,4410,70,13904800,61174759000,2569,3514.8,4410,80200,4400,14500,4014694920,4014694920,3261136684,455600,1127600,"",5800,25027000,2,NA,NA
"22",22,3018705,"2021-11-10T00:00:00","AKSI","Maming Enam Sembilan Mineral Tbk.","--U-2130000000K211------------",474,0,0,476,474,474,0,22100,10476400,21,237,476,3000,474,11000,7.2e+08,7.2e+08,521280000,0,0,"",0,0,0,NA,NA
"23",23,3018706,"2021-11-10T00:00:00","ALDO","Alkindo Naratama Tbk.","--U-2130000000B131------------",835,0,0,865,780,840,5,27428300,22607616500,4021,615.6,840,381600,835,41900,1.1e+09,1.1e+09,806410000,2825400,1119400,"",0,0,0,NA,NA
"24",24,3018707,"2021-11-10T00:00:00","ALKA","Alakasa Industrindo Tbk","--U-2130000000B141------------",244,0,0,256,240,250,6,91500,22683000,32,42.1,250,20900,240,5600,507665055,507665055,366788002,0,0,"",0,0,0,NA,NA
"25",25,3018708,"2021-11-10T00:00:00","ALMI","Alumindo Light Metal Industry Tbk.","--U-2100000000B141-E----------",264,0,0,274,248,254,-10,51500,13643400,44,39.1,264,15400,254,1800,6.16e+08,6.16e+08,461630400,0,0,"",0,0,0,NA,NA
"26",26,3018709,"2021-11-10T00:00:00","ALTO","Tri Banyan Tirta Tbk.","--U-1100000000D212------------",288,0,0,294,288,292,4,1900,555200,7,145.9,294,34100,292,2400,2191870558,2191870558,1681164718,0,0,"",0,0,0,NA,NA
