"","No","IDStockSummary","Date","StockCode","StockName","Remarks","Previous","OpenPrice","FirstTrade","High","Low","Close","Change","Volume","Value","Frequency","IndexIndividual","Offer","OfferVolume","Bid","BidVolume","ListedShares","TradebleShares","WeightForIndex","ForeignSell","ForeignBuy","DelistingDate","NonRegularVolume","NonRegularValue","NonRegularFrequency","persen","percentage"
"1",1,2986286,"2021-09-10T00:00:00","AALI","Astra Agro Lestari Tbk.","--M-1M3EM00000D232------------",8575,0,0,8600,8475,8500,-75,645100,5497227500,730,690.5,8525,48300,8500,1600,1924688333,1924688333,1924688333,111100,308600,"",0,0,0,NA,NA
"2",2,2986287,"2021-09-10T00:00:00","ABBA","Mahaka Media Tbk.","--U-2105000000E614-E-L--------",580,0,0,585,555,560,-20,12603300,7096002000,1842,982.5,560,90400,555,300900,2755125000,2755125000,2755125000,3542700,221900,"",0,0,0,NA,NA
"3",3,2986288,"2021-09-10T00:00:00","ABDA","Asuransi Bina Dana Arta Tbk.","--U-2105000000G412------------",6950,0,0,0,0,6950,0,0,0,0,1586.7,0,0,0,0,620806680,620806680,620806680,0,0,"",0,0,0,NA,NA
"4",4,2986289,"2021-09-10T00:00:00","ABMM","ABM Investama Tbk.","--U-1105000000C311------------",1310,0,0,1345,1280,1300,-10,202700,262325000,103,34.7,1325,5000,1300,200,2753165000,2753165000,2753165000,0,0,"",0,0,0,NA,NA
"5",5,2986290,"2021-09-10T00:00:00","ACES","Ace Hardware Indonesia Tbk.","--MO1S3PMN0000E743------------",1400,1400,1400,1405,1380,1380,-20,6538700,9049648000,2027,1682.9,1380,360500,1375,1528700,1.715e+10,1.715e+10,1.715e+10,3271200,755500,"",0,0,0,NA,NA
"6",6,2986291,"2021-09-10T00:00:00","ACST","Acset Indonusa Tbk.","--U-1135000000J211------------",244,0,0,248,242,244,0,19260000,4714868600,1461,18,244,497500,242,3168100,12675160000,12675160000,12675160000,217300,563000,"",0,0,0,NA,NA
"7",7,2986292,"2021-09-10T00:00:00","ADES","Akasha Wira International Tbk.","--U-2135000000D212------------",2900,0,0,3140,2870,3030,130,221900,662303000,210,157.4,3040,6100,3020,200,589896800,589896800,589896800,0,0,"",381700,1137847700,1,NA,NA
"8",8,2986293,"2021-09-10T00:00:00","ADHI","Adhi Karya (Persero) Tbk.","--M-1835V50000J211------------",815,0,0,830,810,820,5,15876400,13022278500,2561,644,825,1268500,820,689000,3560849376,3560849376,3560849376,1547200,1812700,"",0,0,0,NA,NA
"9",9,2986294,"2021-09-10T00:00:00","ADMF","Adira Dinamika Multi Finance Tbk.","--U-110F000000G211------------",7650,0,0,7750,7650,7725,75,26000,200287500,89,332.3,7750,25600,7725,900,1e+09,1e+09,1e+09,0,0,"",0,0,0,NA,NA
"10",10,2986295,"2021-09-10T00:00:00","ADMG","Polychem Indonesia Tbk","--U-1130000000B111------------",208,0,0,218,208,218,10,6581200,1413835200,1229,19.5,218,25400,216,133000,3889179559,3889179559,3889179559,1100,14100,"",0,0,0,NA,NA
